Date,Confirmed,Deaths,Recovered,Active
2/25/20,2,0,0,2
2/26/20,2,0,0,2
2/27/20,3,0,0,3
2/28/20,3,0,0,3
2/29/20,9,0,0,9
3/1/20,14,0,0,14
3/2/20,18,0,0,18
3/3/20,21,0,0,21
3/4/20,29,0,0,29
3/5/20,41,0,0,41
3/6/20,55,0,0,55
3/7/20,79,0,0,79
3/8/20,104,0,0,104
3/9/20,131,0,2,129
3/10/20,182,0,4,178
3/11/20,246,0,4,242
3/12/20,302,1,4,297
3/13/20,504,1,6,497
3/14/20,655,1,6,648
3/15/20,860,1,6,853
3/16/20,1018,3,6,1009
3/17/20,1332,3,1,1328
3/18/20,1646,4,9,1633
3/19/20,2013,6,9,1998
3/20/20,2388,6,9,2373
3/21/20,2814,8,9,2797
3/22/20,3582,16,9,3557
3/23/20,4474,21,9,4444
3/24/20,5283,28,9,5246
3/25/20,5588,30,9,5549
3/26/20,6909,49,112,6748
3/27/20,7657,58,225,7374
3/28/20,8271,68,225,7978
3/29/20,8788,86,479,8223
3/30/20,9618,108,636,8874
3/31/20,10180,128,1095,8957
4/1/20,10711,146,1436,9129
4/2/20,11129,158,1749,9222
4/3/20,11524,168,2022,9334
4/4/20,11781,186,2507,9088
4/5/20,12051,204,2998,8849
4/6/20,12297,220,3463,8614
4/7/20,12639,243,4046,8350
4/8/20,12942,273,4512,8157
4/9/20,13244,295,5240,7709
4/10/20,13555,319,6064,7172
4/11/20,13806,337,6604,6865
4/12/20,13945,350,6987,6608
4/13/20,14041,368,7343,6330
4/14/20,14226,384,7633,6209
4/15/20,14336,393,8098,5845
4/16/20,14476,410,8986,5080
4/17/20,14595,431,9704,4460
4/18/20,14671,443,10214,4014
4/19/20,14749,452,10501,3796
4/20/20,14795,470,10631,3694
4/21/20,14873,491,10971,3411
4/22/20,14925,510,11328,3087
4/23/20,15002,522,11694,2786
4/24/20,15071,530,11872,2669
4/25/20,15148,536,12103,2509
4/26/20,15225,542,12282,2401
4/27/20,15274,549,12362,2363
4/28/20,15357,569,12580,2208
4/29/20,15402,580,12779,2043
4/30/20,15452,584,12907,1961
5/1/20,15531,589,13110,1832
5/2/20,15558,596,13180,1782
5/3/20,15597,598,13228,1771
5/4/20,15621,600,13316,1705
5/5/20,15650,606,13462,1582
5/6/20,15684,608,13639,1437
5/7/20,15752,609,13698,1445
5/8/20,15774,614,13836,1324
5/9/20,15833,615,13928,1290
5/10/20,15871,618,13991,1262
5/11/20,15882,620,14061,1201
5/12/20,15961,623,14148,1190
5/13/20,15997,624,14304,1069
5/14/20,16058,626,14405,1027
5/15/20,16109,628,14471,1010
5/16/20,16201,629,14524,1048
5/17/20,16242,629,14563,1050
5/18/20,16269,629,14614,1026
5/19/20,16321,632,14678,1011
5/20/20,16353,633,14882,838
5/21/20,16404,633,14951,820
5/22/20,16436,635,15005,796
5/23/20,16486,639,15037,810
5/24/20,16503,640,15063,800
5/25/20,16539,641,15138,760
5/26/20,16557,643,15182,732
5/27/20,16591,645,15228,718
5/28/20,16628,668,15286,674
5/29/20,16655,668,15347,640
5/30/20,16685,668,15520,497
5/31/20,16731,668,15593,470
6/1/20,16733,668,15596,469
6/2/20,16759,669,15629,461
6/3/20,16771,670,15672,429
6/4/20,16805,670,15717,418
6/5/20,16843,672,15742,429
6/6/20,16898,672,15789,437
6/7/20,16902,672,15793,437
6/8/20,16968,672,15839,457
6/9/20,16979,672,15875,432
6/10/20,17005,673,15910,422
6/11/20,17034,674,15949,411
6/12/20,17064,675,15985,404
6/13/20,17078,677,16012,389
6/14/20,17109,677,16059,373
6/15/20,17135,678,16066,391
6/16/20,17189,681,16089,419
6/17/20,17203,687,16099,417
6/18/20,17223,688,16101,434
6/19/20,17271,688,16141,442
6/20/20,17323,688,16175,460
6/21/20,17341,690,16197,454
6/22/20,17380,690,16241,449
6/23/20,17408,693,16261,454
6/24/20,17449,693,16282,474
6/25/20,17477,698,16320,459
6/26/20,17522,698,16348,476
6/27/20,17580,700,16371,509
6/28/20,17654,702,16401,551
6/29/20,17723,703,16420,600
6/30/20,17766,705,16478,583
7/1/20,17873,705,16491,677
7/2/20,17941,705,16514,722
7/3/20,18050,705,16558,787
7/4/20,18165,705,16607,853
7/5/20,18280,706,16615,959
7/6/20,18365,706,16647,1012
7/7/20,18421,706,16686,1029
7/8/20,18513,706,16721,1086
7/9/20,18615,706,16758,1151
7/10/20,18709,706,16808,1195
7/11/20,18783,706,16864,1213
7/12/20,18897,708,16952,1237
7/13/20,18948,708,17000,1240
7/14/20,19021,709,17073,1239
7/15/20,19154,710,17175,1269
7/16/20,19270,711,17244,1315
7/17/20,19439,711,17335,1393
7/18/20,19573,711,17501,1361
7/19/20,19655,711,17599,1345
7/20/20,19743,711,17659,1373
7/21/20,19827,710,17716,1401
7/22/20,19929,711,17849,1369
7/23/20,20099,711,17943,1445
7/24/20,20214,711,18042,1461
7/25/20,20338,712,18124,1502
7/26/20,20472,712,18209,1551
7/27/20,20558,713,18246,1599
7/28/20,20677,713,18379,1585
7/29/20,20850,716,18528,1606
7/30/20,20955,718,18628,1609
7/31/20,21130,718,18758,1654
8/1/20,21212,718,18911,1583
8/2/20,21304,718,18984,1602
8/3/20,21385,718,19063,1604
8/4/20,21481,719,19336,1426
8/5/20,21566,719,19464,1383
8/6/20,21696,719,19596,1381
8/7/20,21837,720,19690,1427
8/8/20,21919,721,19812,1386
8/9/20,22033,721,19923,1389
8/10/20,22106,723,20010,1373
8/11/20,22245,723,20123,1399
8/12/20,22439,724,20268,1447
8/13/20,22594,725,20346,1523
8/14/20,22876,725,20499,1652
8/15/20,23179,728,20627,1824
8/16/20,23370,728,20681,1961
8/17/20,23534,729,20765,2040
8/18/20,23829,729,20870,2230
8/19/20,24084,729,20958,2397
8/20/20,24431,729,21093,2609
8/21/20,24762,730,21260,2772
8/22/20,25062,732,21406,2924
8/23/20,25253,732,21558,2963
8/24/20,25495,733,21657,3105
8/25/20,25706,733,21888,3085
8/26/20,26033,733,22145,3155
8/27/20,26361,733,22317,3311
8/28/20,26590,733,22594,3263
8/29/20,26985,733,22866,3386
8/30/20,27166,733,23070,3363
8/31/20,27438,733,23226,3479
9/1/20,27642,734,23565,3343
9/2/20,27969,734,23820,3415
9/3/20,28372,735,24171,3466
